Artform,Year,Income,Age,Education
Jazz,1982,6,26,4
Jazz,1982,6,29,4
Musical,1982,7,28,3
Musical,1982,25,70,1
Musical,1982,25,74,1
Jazz,1982,0,45,3
Jazz,1982,21,25,6
Opera,1982,21,25,6
Musical,1982,21,25,6
Art Museum,1982,21,25,6
Art Museum,1982,25,24,3
Musical,1982,41,62,5
Musical,1982,41,60,5
Jazz,1982,41,29,5
Musical,1982,41,29,5
Play,1982,41,22,4
Classical,1982,40,18,3
Jazz,1982,6,25,4
Art Museum,1982,6,25,4
Art Museum,1982,6,27,3
Art Museum,1982,6,29,2
Art Museum,1982,22,55,4
Musical,1982,0,27,5
Play,1982,0,27,5
Art Museum,1982,0,27,5
Jazz,1982,0,31,4
Musical,1982,0,31,4
Art Museum,1982,0,31,4
Jazz,1982,7,50,3
Musical,1982,7,20,3
Musical,1982,7,18,2
Jazz,1982,40,20,4
Art Museum,1982,40,67,3
Jazz,1982,6,53,2
Play,1982,25,69,2
Jazz,1982,22,22,3
Musical,1982,22,22,3
Art Museum,1982,22,22,3
Classical,1982,41,59,6
Musical,1982,41,59,6
Art Museum,1982,41,59,6
Classical,1982,41,60,5
Musical,1982,41,60,5
Jazz,1982,41,19,4
Classical,1982,41,19,4
Musical,1982,41,19,4
Musical,1982,6,39,3
Musical,1982,6,33,4
Art Museum,1982,6,33,4
Jazz,1982,41,23,3
Play,1982,0,34,6
Classical,1982,0,32,5
Play,1982,0,32,5
Art Museum,1982,0,32,5
Art Museum,1982,7,33,5
Art Museum,1982,41,38,5
Classical,1982,41,35,3
Art Museum,1982,41,35,3
Jazz,1982,3,22,3
Jazz,1982,6,83,4
Art Museum,1982,6,83,4
Jazz,1982,24,81,2
Classical,1982,24,81,2
Ballet,1982,24,81,2
Art Museum,1982,24,81,2
Musical,1982,6,64,4
Play,1982,6,64,4
Ballet,1982,6,64,4
Classical,1982,3,25,3
Musical,1982,3,25,3
Art Museum,1982,3,25,3
